Sample_ID,Season,Site_type,Extreme_Temperature,Flow_m3_s,Water_Temperature_C,pH,DO_mg_L,Turbidity_NTU,TN_mg_L,TP_mg_L,Rainfall_7d_mm,Algae_Bloom
S275,Summer,Wetland,Yes,2.61,26.61,7.31,5.91,13.21,2.79,0.134,27.48,Yes
S276,Summer,Agricultural stream,Yes,10.41,29.06,7.1,5.35,15.09,1.83,0.178,15.77,No
S277,Autumn,Reservoir,Yes,11.1,28.54,7.78,4.98,23.81,1.42,0.057,19.47,Yes
S278,Autumn,Urban stream,No,12.21,14.93,7.8,6.67,14.44,1.57,0.102,21.17,No
S279,Autumn,Urban stream,No,13.57,22.33,7.73,8.26,6.89,1.63,,11.4,No
S280,Autumn,Urban stream,No,7.26,15.76,8.21,7.29,8.06,1.26,0.144,11.83,No
S281,Winter,Urban stream,No,5.9,8.02,7.38,8.53,9.75,2.86,0.022,20.45,No
S282,Summer,Urban stream,Yes,16.52,33.77,7.94,4.28,7.99,1.82,0.175,13.14,Yes
S283,Summer,Urban stream,Yes,8.39,26.27,7.07,5.08,8.52,2.25,0.083,9.71,Yes
S284,Spring,Urban stream,Yes,8.6,27.7,,6.75,2.05,1.6,0.089,6.84,No
S285,Summer,Urban stream,Yes,15.43,30.61,,4.43,14.18,0.73,0.069,17.99,Yes
S286,Spring,Agricultural stream,No,10.49,19.1,7.87,6.14,14.04,2.79,0.136,7.85,No
S287,Summer,Urban stream,Yes,11.07,28.9,7.46,5.9,12.43,0.66,0.171,24.37,Yes
S288,Summer,Agricultural stream,Yes,20.57,31.31,7.58,5.2,25.21,2.55,0.026,25.8,No
S289,Summer,Agricultural stream,Yes,6.53,28.86,,5.47,17.27,1.64,0.214,19.37,Yes
S290,Summer,Reservoir,No,9.72,22.65,7.37,6.29,21.19,,0.117,22.31,Yes
S291,Spring,Urban stream,No,9.58,18.31,7.88,7.27,,2.64,0.04,19.41,No
S292,Spring,Reservoir,No,6.84,23.73,7.8,6.8,20.81,2.07,0.046,23.43,Yes
S293,Autumn,Reservoir,No,13.2,17.09,7.7,5.84,10.77,2.88,0.184,22.74,No
S294,Summer,Urban stream,Yes,11.29,29.55,7.62,5.35,18.24,1.41,0.053,17.3,Yes
S295,Spring,Wetland,No,7.41,19.83,7.5,7.6,19.33,2.38,0.072,27.72,No
S296,Summer,Wetland,Yes,9.97,28.54,7.29,6.35,14.04,2.14,0.187,11.72,No
S297,Autumn,Urban stream,No,8.27,16.57,7.78,5.73,3.28,2.18,0.117,7.02,No
S298,Spring,Urban stream,No,7.07,23.39,7.72,6.29,4.54,2.89,0.053,6.71,No
S299,Autumn,Reservoir,No,3.12,18.96,7.71,4.82,13.67,2.51,0.111,10.4,No
S300,Spring,Reservoir,Yes,1.55,26.65,7.33,5.79,2.06,2.2,0.049,1.78,Yes
S301,Spring,Urban stream,No,20.64,22.82,6.56,8.26,15.36,0.84,0.155,15.66,No
S302,Summer,Urban stream,Yes,6.5,,8.11,4.53,8.78,1.33,0.153,21.37,No
S303,Summer,Agricultural stream,Yes,7.69,28.88,7.37,4.66,21.74,2.51,0.177,25.55,Yes
S304,Autumn,Agricultural stream,No,7.52,9.74,7.01,8.35,1.04,2.67,0.168,,No
S305,Autumn,Reservoir,No,6.99,20.85,7.82,5.31,11.87,1.21,0.188,6.91,No
S306,Winter,Agricultural stream,No,11.67,10.34,7.23,6.62,19.87,4.29,0.15,23.87,No
S307,Summer,Agricultural stream,Yes,11.88,27.38,8.05,5.84,7.66,3.66,0.091,11.43,No
S308,Summer,Reservoir,No,4.18,22.64,7.8,5.61,18.37,2.42,0.122,21.03,No
S309,Autumn,Urban stream,No,8.85,14.95,7.76,6.98,9.19,2.05,0.204,4.19,No
S310,Summer,Urban stream,Yes,10.39,31.03,7.0,5.98,18.11,1.85,0.049,32.9,No
S311,Summer,Reservoir,No,5.11,23.54,8.08,6.72,2.7,1.33,0.082,3.87,Yes
S312,Spring,Wetland,No,,23.49,7.65,6.41,3.08,2.05,0.151,15.32,No
S313,Spring,Agricultural stream,No,10.22,20.74,7.34,6.01,14.78,,0.147,15.62,No
S314,Winter,Agricultural stream,No,11.29,8.21,7.45,8.41,2.17,1.73,0.101,8.87,No
S315,Autumn,Urban stream,No,11.96,20.29,6.7,6.39,14.97,2.23,0.156,18.88,No
S316,Autumn,Agricultural stream,No,13.53,15.06,7.63,7.48,13.35,2.49,0.266,19.26,No
S317,Summer,Agricultural stream,Yes,9.02,27.19,7.11,5.47,17.41,1.26,0.16,17.81,Yes
S318,Spring,Urban stream,No,6.12,21.44,6.91,6.41,8.42,1.4,0.055,8.74,No
S319,Spring,Urban stream,No,10.85,16.54,6.78,6.2,7.67,1.71,0.023,7.37,No
S320,Summer,Agricultural stream,Yes,6.51,28.98,8.09,5.01,13.95,,0.163,9.54,Yes
